ID,House Request,Senate Request,Pre-reduction Amt. (Omni),Final Amount,Budget Request,Description,City/Location,County,State,Bill,Bill Section,Bill Subsection,Project Heading (Defense Bill Only),House Requesting Member(s),House Party,House State,Dist.,Senate Requesting Member(s),Senate Party,Senate State,Presidential Earmarks,Undisclosed,Intended Recipient or Location,Notes,is_pork
p1,,"$5,000,000","$3,750,000","$3,724,000",,National Center for Natural Products Research,Oxford,,MS,Ag-Rural Development-FDA,General Provisions,,,,,,,Cochran,R,MS,,,University of Mississippi,Housed at the Thad Cochran Research Center,1
p2,,"$4,000,000","$2,800,000","$2,780,000",,"Jamie Whitten Delta States Research Center, for the major modernization phase of this center",Stoneville,,MS,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Buildings and Facilities,,,,,,Cochran,R,MS,,,,,1
p3,,"$1,500,000","$1,083,000","$1,075,000",,Agricultural Wildlife Conservation Center,,,MS,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Conservation Operations,,,,,,Cochran,R,MS,,,Agricultural Wildlife Conservation Center,,1
p4,,"$1,140,000","$855,000","$849,000",,"Genomics for Southern Crop Stress and Disease, MS",,,MS,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Cochran,R,MS,,,Mississippi State University,,1
p5,"$800,000",,,"$846,000",,"Father's Day Rally Committee, Inc., Men United Program",Philadelphia,,PA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Fattah,D,PA,,,,,,,,,1
p6,"$250,000",,,"$235,000",,"Project for Public Spaces, preservation and revitalization of the Moore Street Market",Brooklyn,,NY,"Commerce, Justice & Science",Department of Commerce,Minority Business Development Agency,,Velazquez,D,NY,12,,,,,,,,1
p7,"$500,000",,,"$705,000",,"Concurrent Technologies Corporation, PA Corrections Learning Environment",,,PA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Murtha,D,PA,,,,,,,,,1
p8,"$600,000",,,"$893,000",,"Abyssinian Development Corporation programs for at-risk youth, New York, NY",New York,,NY,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Rangel,D,NY,,Clinton; Schumer,D; D,NY; NY,,,,,1
p9,,"$500,000",,"$446,500",,Arkansas World Trade Center; Funding to support efforts to develop international trade initiatives in Northwest Arkansas,University of Arkansas,,AR,"Commerce, Justice & Science",Department of Commerce,International Trade Administration,,Boozman,R,AR,,Lincoln; Pryor,D; D,AR; AR,,,,,1
p10,"$3,000,000",,,"$4,500,000",,Comprehensive Maritime Domain Awareness,St. Petersburg,,FL,Defense,RDTE,Defense Wide,Combating Terrorism Technology Support,"Young, Bill",R,FL,,,,,,,SRI,,1
p11,"$6,000,000",,,"$4,800,000",,Jamaica Bay Unit of Gateway National Recreation Area,,,NY,Defense,General Provisions,,,Weiner,D,NY,9,,,,,,,,1
p12,,"$3,000,000",,"$3,000,000",,Hawaii National Guard Counter-Drug Program,,,HI,Defense,Drug Interdiction and Counter-Drug Activity,Defense Wide,Counter Narcotics,,,,,Inouye,D,HI,,,,,1
p13,,"$60,000,000",,"$54,000,000",,ABL Facility Restoration Program,Rocket Center,,WV,Defense,Weapons Procurement,Navy,Weapons Industrial Facilities,,,,,Byrd,D,WV,,,,,1
p14,"$2,000,000",,,"$1,600,000",,Microsatellite Serial Manufacturing,Los Angeles,,CA,Defense,RDTE,Air Force,Advanced Spacecraft Technology,"Lewis, Jerry",R,CA,41,,,,,,USC,,1
