ID,Final Amount,State,Bill,Bill Section,is_pork
2,"$3,724,000",MS,Ag-Rural Development-FDA,General Provisions,1
3,"$2,780,000",MS,Ag-Rural Development-FDA,Agriculture,1
4,"$1,075,000",MS,Ag-Rural Development-FDA,Conservation Programs,1
5,"$849,000",MS,Ag-Rural Development-FDA,Agriculture,1
6,"$846,000",PA,"Commerce, Justice & Science",Department of Justice,1
7,"$235,000",NY,"Commerce, Justice & Science",Department of Commerce,1
8,"$705,000",PA,"Commerce, Justice & Science",Department of Justice,1
9,"$893,000",NY,"Commerce, Justice & Science",Department of Justice,1
10,"$446,500",AR,"Commerce, Justice & Science",Department of Commerce,1
11,"$4,500,000",FL,Defense,RDTE,1
12,"$4,800,000",NY,Defense,General Provisions,1
13,"$3,000,000",HI,Defense,Drug Interdiction and Counter-Drug Activity,1
14,"$54,000,000",WV,Defense,Weapons Procurement,1
15,"$1,600,000",CA,Defense,RDTE,1
16,"$4,500,000",FL,Defense,RDTE,1
17,"$3,000,000",FL,Defense,Drug Interdiction and Counter-Drug Activity,1
18,"$590,000",NV,Energy & Water,Department of Energy,1
19,"$492,000",OH,Energy & Water,Department of Energy,1
20,"$492,000",CO,Energy & Water,Legacy Management,1
21,"$197,000",IL,Energy & Water,Department of Energy,1
22,"$500,000",DC,Financial Services,District of Columbia,1
23,"$150,000",NY,Homeland Security,U.S. Citizen and Immigration Services,1
24,"$3,000,000",SC,Homeland Security,Federal Emergency Management Agency,1
25,"$50,000",GA,Homeland Security,Federal Emergency Management Agency,1
26,"$1,647,000",WV,Interior,Forest Service,1
27,"$221,000",KS,Interior,National Park Service,1
28,"$8,930,215",AL,Labor-HHS-Education,Department of Health and Human Services,1
29,"$85,480",VA,Labor-HHS-Education,Department of Health and Human Services,1
30,"$1,436,459",IA,Labor-HHS-Education,Department of Health and Human Services,1
31,"$310,479",IA; PA,Labor-HHS-Education,Department of Health and Human Services,1
32,"$335,043",GA,Labor-HHS-Education,Related Agencies,1
33,"$286,899",IA,Labor-HHS-Education,Related Agencies,1
34,"$202,401",UT,Labor-HHS-Education,Related Agencies,1
35,"$125,000",MS,Legislative Branch,Library of Congress,1
36,"$750,000",RI,Military Construction,Military Construction Project Listing,1
37,"$183,750",MO,Transportation and Housing & Urban Development,HUD,1
38,"$1,470,000",MA,Transportation and Housing & Urban Development,Transportation,1
39,"$98,000",TX,Transportation and Housing & Urban Development,HUD,1
40,"$65,465,000",INT,State-Foreign Ops,Department of State,1
41,"$71,000",IL,Ag-Rural Development-FDA,Agriculture,0
42,"$206,000",HI,Ag-Rural Development-FDA,Conservation Programs,0
43,"$71,000",HI,Ag-Rural Development-FDA,Conservation Programs,0
44,"$71,000",TX,Ag-Rural Development-FDA,Agriculture,0
45,"$1,870,000",NY,Ag-Rural Development-FDA,Agriculture,0
46,"$656,000",AK,Ag-Rural Development-FDA,Conservation Programs,0
47,"$229,000",MS,Ag-Rural Development-FDA,Agriculture,0
48,"$535,000",MO,Ag-Rural Development-FDA,Conservation Programs,0
49,"$4,424,000",UNK,Ag-Rural Development-FDA,Rural Development Programs,0
50,"$187,000",UT,Ag-Rural Development-FDA,Agriculture,0
51,"$2,666,000",IL,Ag-Rural Development-FDA,Agriculture,0
52,"$104,000",WA,Ag-Rural Development-FDA,Agriculture,0
53,"$1,544,000",OH,Ag-Rural Development-FDA,Agriculture,0
54,"$387,000",MD,Ag-Rural Development-FDA,Agriculture,0
55,"$237,000",WA,Ag-Rural Development-FDA,Agriculture,0
56,"$149,000",FL,Ag-Rural Development-FDA,Agriculture,0
57,"$430,000",IL,Ag-Rural Development-FDA,Agriculture,0
58,"$710,000",OH,Ag-Rural Development-FDA,Agriculture,0
59,"$406,000",WI,Ag-Rural Development-FDA,Agriculture,0
60,"$249,000",WA,Ag-Rural Development-FDA,Agriculture,0
61,"$1,057,000",AR; IA; KS,Ag-Rural Development-FDA,Agriculture,0
62,"$291,000",IA,"Commerce, Justice & Science",Department of Justice,0
63,"$282,000",SC,"Commerce, Justice & Science",Department of Justice,0
64,"$70,500",CA,"Commerce, Justice & Science",Department of Justice,0
