ID,House Request,Senate Request,Pre-reduction Amt. (Omni),Final Amount,Budget Request,Description,City/Location,County,State,Bill,Bill Section,Bill Subsection,Project Heading (Defense Bill Only),House Requesting Member(s),House Party,House State,Dist.,Senate Requesting Member(s),Senate Party,Senate State,Presidential Earmarks,Undisclosed,Intended Recipient or Location,Notes,is_pork
1836,"$900,000",,,"$846,000",,Distance Learning program at Fairmont State University,Fairmont,,WV,"Commerce, Justice & Science",Science,NASA,,Mollohan,D,WV,,,,,,,,,1
919,,"$5,000,000","$3,750,000","$3,724,000",,National Center for Natural Products Research,Oxford,,MS,Ag-Rural Development-FDA,General Provisions,,,,,,,Cochran,R,MS,,,University of Mississippi,Housed at the Thad Cochran Research Center,1
1135,,"$4,000,000","$2,800,000","$2,780,000",,"Jamie Whitten Delta States Research Center, for the major modernization phase of this center",Stoneville,,MS,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Buildings and Facilities,,,,,,Cochran,R,MS,,,,,1
67,,"$1,500,000","$1,083,000","$1,075,000",,Agricultural Wildlife Conservation Center,,,MS,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Conservation Operations,,,,,,Cochran,R,MS,,,Agricultural Wildlife Conservation Center,,1
2644,,"$1,140,000","$855,000","$849,000",,"Genomics for Southern Crop Stress and Disease, MS",,,MS,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Cochran,R,MS,,,Mississippi State University,,1
189,,"$687,000","$515,000","$511,000",,Biotechnology,,,MS,Ag-Rural Development-FDA,Agriculture,CSREES; Federal Administration,,,,,,Cochran,R,MS,,,Alcorn State University,,1
328,,"$308,000","$231,000","$229,000",,Rural Systems,,,MS,Ag-Rural Development-FDA,Agriculture,CSREES; Federal Administration,,,,,,Cochran,R,MS,,,Jackson State University,,1
477,,"$8,000,000","$5,600,000","$5,561,000",,"Agricultural Research Center, Logan, UT",Logan,,UT,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Buildings and Facilities,,,,,,Bennett,R,UT,,,,,1
2141,,"$3,650,000","$2,635,000","$2,617,000",,Utah Conservation Initiative,,,UT,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Conservation Operations,,,,,,Bennett,R,UT,,,NRCS Utah,,1
376,,"$1,600,000","$1,200,000","$1,192,000",,"Functional Genomics, UT",,,UT,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Bennett,R,UT,,,Utah State University,,1
1381,,"$750,000","$563,000","$559,000",,"High Performance Computing, UT",,,UT,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Bennett,R,UT,,,Utah State University,,1
509,,"$250,000","$188,000","$187,000",,Pasture and Forage Research,,,UT,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Bennett,R,UT,,,Utah State University,,1
363,,"$5,000,000","$3,856,000","$3,829,000",,"Lost River Watershed Project, WV",,,WV,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Watershed and Flood Prevention Operations,,,,,,Byrd,D,WV,,,NRCS West Virginia,,1
1610,,"$4,500,000","$3,249,000","$3,226,000",,"GIS Center of Excellence, WV",,,WV,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Conservation Operations,,,,,,Byrd,D,WV,,,National Geospatial Development Center,,1
715,,"$2,200,000","$1,540,000","$1,529,000",,"Appalachian Fruit Lab, WV",Kearneysville,,WV,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Buildings and Facilities,,,,,,Byrd,D,WV,,,,,1
295,,"$700,000","$525,000","$521,000",,"Aquaculture Product and Marketing Development, WV",,,WV,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Byrd,D,WV,,,West Virginia University,,1
82,,"$150,000","$113,000","$112,000",,"Feed Efficiency, WV",,,WV,Ag-Rural Development-FDA,Agriculture,CSREES; Federal Administration,,,,,,Byrd,D,WV,,,West Virginia Department of Agriculture,,1
1020,,"$3,600,000","$2,520,000","$2,502,000",,"Dairy Forage Agriculture Research Center, for planning and design of this center",Prairie du Sac,,WI,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Buildings and Facilities,,,,,,Kohl,D,WI,,,,,1
