,House Request,Senate Request,Pre-reduction Amt. (Omni),Final Amount,Budget Request,Description,City/Location,County,State,Bill,Bill Section,Bill Subsection,Project Heading (Defense Bill Only),House Requesting Member(s),House Party,House State,Dist.,Senate Requesting Member(s),Senate Party,Senate State,Presidential Earmarks,Undisclosed,Intended Recipient or Location,Notes,is_pork
0,100000,,97000,95305,,"1 KNOW 1 CAN, Columbus, OH for college preparatory programs",Columbus,,OH,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,Pryce,R,OH,,,,,,,,,0
1,500000,,1100000,1078000,,19th Street SW Grade Separation,Mason City,,IA,Transportation and Housing & Urban Development,Transportation,FHWA; Surface Transportation Priorities,,Latham,R,IA,4,Grassley; Harkin,R; D,IA; IA,,,,,0
2,,22100000,,22100000,22100000,"Armed Forces Reserve Center, Incr 2",Bell,,CA,Military Construction,BRAC Projects 2005,Army,,,,,,,,,President-Solo & Und.,,,Commission recommendation; 73,0
3,,25000000,,25000000,25000000,Base Operational Support Project for Headquarters 3rd Army,Shaw AFB,,SC,Military Construction,BRAC Projects 2005,Army,,,,,,,,,President-Solo & Und.,,,Commission recommendation; 3A,0
4,,3115000,2929000,2929000,,Blue Marsh Lake,,,PA,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
5,250000,,341000,335043,,"Center for Employment Training, San Jose, CA for its building trades program for out-of-school youth",San Jose,,CA,Labor-HHS-Education,Department of Labor ,Employment and Training Administration ,,Lofgren,D,CA,16,,,,,,,,0
6,,2500000,,2000000,,Joint Tactical Network Test Environment ,,,UNK,Defense,RDTE,Army,Army Technical Test Instrumentation and Targets ,,,,,Bingaman; Domenici,D; R,NM; NM,,,,,0
7,937000,,520000,512000,0,"Lower Girard Dam, OH",,,OH,Energy & Water,Corps of Engineers,"Construction, General",,"Ryan, Tim",D,OH,,Voinovich,R,OH,,,,,0
8,,250000,,235000,,"Nebraska State Patrol, Lincoln, NE, to combat methamphetamine",Lincoln,,NE,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,Fortenberry,R,NE,1,"Hagel; Nelson, Ben",R; D,NE; NE,,,,,0
9,150000,,,175000,,"Oil Region Alliance of Business, Industry and Tourism",Oil City,,PA,Financial Services,Small Business Administration,,,"Peterson, John",R,PA,5,,,,,,,,0
10,,88000000,,88000000,88000000,Unit Maintenance Facility (Grow the Force),Fort Bragg,,NC,Military Construction,Military Construction Project Listing,Army,,,,,,Burr; Dole,R; R,NC; NC,President and Member(s),,,,0
11,,1000000,,1000000,,Center for Resilient Financial Services e-Cavern Partnership,,,KY,Financial Services,Department of the Treasury,,,Yarmuth,D,KY,,McConnell,R,KY,,,,,0
12,100000,,100000,98000,,City of Ansonia for planning and design of affordable housing as part of a redevelopment plan at the Riverside Apartment Complex,Ansonia,,CT,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,DeLauro,D,CT,,,,,,,,,0
13,,240000,,308320,,"City of Cincinnati Police Department, Cincinnati, OH, for retention and protection of digital audio and video files",Cincinnati,,OH,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Schmidt,R,OH,,Brown; Voinovich,D; R,OH; OH,,,,,0
14,,100000,75000,74000,,"Disease Prevention, LA",,,LA,Ag-Rural Development-FDA,Agriculture,Animal and Plant Health Inspection Service,,,,,,Landrieu; Vitter,D; R,LA; LA,,,Louisiana Department of Wildlife and Fisheries,,0
15,225000,,219000,215174,,"La Rabida Children's Hospital, Chicago, IL for facilities and equipment",Chicago,,IL,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Jackson,D,IL,,,,,,,,,0
16,300000,,292000,286899,,"Morehead State University, Morehead, KY to improve rural health",Morehead,,KY,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,"Rogers, Harold",R,KY,,,,,,,,,0
17,2300000,,2300000,2254000,,Needles Highway,Needles,,CA,Transportation and Housing & Urban Development,Transportation,FHWA; Federal Lands (Public Lands Highways),,"Lewis, Jerry",R,CA,41,,,,,,,,0
18,,24723000,23243000,23243000,,Ohio River Locks and Dams,,,OH; PA; WV,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
19,,8000000,4500000,4421385,,"Special Olympics for special olympics educational programs that can be integrated into classroom instruction and for activities to increase the participation of individuals with intellectual disabilities, as authorized under the Special Olympics Sport and Empowerment Act",,,UNK,Labor-HHS-Education,Department of Education,Special Education,,DeLauro; Hoyer,D; D,CT; MD,,Harkin,D,IA,,,,,0
20,,,400000,392000,,"STH 44-Oshkosh, WI",Oshkosh,,WI,Transportation and Housing & Urban Development,Transportation,FHWA; Surface Transportation Priorities,,Petri,R,WI,,,,,,,,,0
21,3000000,,,2400000,,DICAST System Enhancement ,Torrance,,CA,Defense,RDTE,Defense Wide,Combating Terrorism Technology Support,Harman,D,CA,,,,,,,Intelligent Optical Systems,,0
22,328000,331000,248000,246000,,"E-commerce, MS",,,MS,Ag-Rural Development-FDA,Agriculture,CSREES; Extension,,Pickering,R,MS,,Cochran,R,MS,,,,,0
23,,300000,300000,295000,,Knox College,Galesburg,,IL,Interior,National Park Service,Save America's Treasures,,,,,,Durbin,D,IL,,,,,0
24,125000,,121000,118886,,"Natividad Medical Center, Salinas, CA for a diabetes care management program",Salinas,,CA,Labor-HHS-Education,Department of Health and Human Services,Centers for Disease Control and Prevention ,,Farr,D,CA,,,,,,,,,0
25,375000,,,352500,,Nebraska State Patrol,,,NE,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,Fortenberry,R,NE,1,"Hagel; Nelson, Ben",R; D,NE; NE,,,,,0
26,,100000,87000,85480,,"Ohio Valley General Hospital, McKees Rocks, PA, for equipment",McKees Rocks,,PA,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,,,,,Casey; Specter,D; R,PA; PA,,,,,0
